NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	cell_type	cell_type__ontology_label	organ_region	organ_region__ontology_label	cell_type__custom
UU_85	UU_D03_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D03	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Fibroblast
UU_86	UU_D03_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D03	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_87	UU_D03_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D03	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_88	UU_D03_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D03	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Fibroblast
UU_89	UU_D03_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D03	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Fibroblast
UU_90	UU_D03_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D03	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_91	UU_D02_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Fibroblast
UU_92	UU_D02_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_93	UU_D02_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_94	UU_D02_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Fibroblast
UU_95	UU_D02_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Fibroblast
UU_96	UU_D02_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_97	UU_D02_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_98	UU_D02_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_99	UU_D02_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_100	UU_D02_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_101	UU_D02_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_102	UU_D02_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_103	UU_D02_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_104	UU_D02_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_105	UU_D02_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_106	UU_D02_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_107	UU_D02_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_108	UU_D02_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_109	UU_D02_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_110	UU_D02_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D02	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_111	UU_D01_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Fibroblast
UU_112	UU_D01_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_113	UU_D01_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_114	UU_D01_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Fibroblast
UU_115	UU_D01_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_116	UU_D01_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_117	UU_D01_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_118	UU_D01_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Fibroblast
UU_119	UU_D01_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_120	UU_D01_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Fibroblast
UU_121	UU_D01_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_122	UU_D01_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_123	UU_D01_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_124	UU_D01_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_125	UU_D01_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_126	UU_D01_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_127	UU_D01_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_128	UU_D01_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_129	UU_D01_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_130	UU_D01_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D01	NCBITaxon_9913	Bos taurus	male	no	CL_0000099	interneuron	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
